name,email,country,language,city,instagram,phone,organization,type,notes
Anna Oposa,,PHL,tl,Manila,@annaoposa,,Save Philippine Seas,influencer,Marine conservation advocate
Gretchen Ho,,PHL,tl,Manila,@gretchenho,,TV Host,influencer,Advocates for climate action
Rovilson Fernandez,,PHL,tl,Manila,@rovilsonfernandez,,TV Host,influencer,Promotes environmental awareness
Antoinette Taus,,PHL,tl,Manila,@antoinettetaus,,UN Environment Goodwill Ambassador,influencer,Focus on climate and peace
Bianca Gonzalez,,PHL,tl,Manila,@iamsuperbianca,,TV Host,influencer,Advocates for social issues
Enzo Pineda,,PHL,tl,Manila,@its_enzopineda,,Actor,influencer,Supports environmental causes
Mikael Daez,,PHL,tl,Manila,@mikaeldaez,,Actor,influencer,Promotes sustainable living
Nico Bolzico,,PHL,tl,Manila,@nicobolzico,,Entrepreneur,influencer,Advocates for sustainable agriculture
Solenn Heussaff,,PHL,tl,Manila,@solenn,,Actress,influencer,Promotes eco-friendly lifestyle
Erwan Heussaff,,PHL,tl,Manila,@erwan,,Content Creator,influencer,Focus on sustainable food
Katarina Rodriguez,,PHL,tl,Manila,@katarinarodri,,Model,influencer,Advocates for environmental protection
Kelsey Merritt,,PHL,tl,Manila,@kelseymerritt,,Model,influencer,Supports climate action
Rissa Mananquil-Trillo,,PHL,tl,Manila,@rissamananquiltrillo,,Beauty Entrepreneur,influencer,Promotes sustainable beauty
Patricia Prieto,,PHL,tl,Manila,@patriciaprieto,,Fashion Blogger,influencer,Focus on sustainable fashion
Laureen Uy,,PHL,tl,Manila,@laureenmuy,,Fashion Blogger,influencer,Promotes eco-friendly fashion
Camille Co,,PHL,tl,Manila,@itscamilleco,,Fashion Blogger,influencer,Advocates for sustainable fashion
Tricia Gosingtian,,PHL,tl,Manila,@tgosingtian,,Fashion Blogger,influencer,Promotes sustainable lifestyle
David Guison,,PHL,tl,Manila,@davidguison,,Fashion Blogger,influencer,Focus on sustainable fashion
Verniece Enciso,,PHL,tl,Manila,@verniecenciso,,Fashion Blogger,influencer,Promotes eco-friendly fashion
Vern Enciso,,PHL,tl,Manila,@vernenciso,,Fashion Blogger,influencer,Advocates for sustainable fashion
Megan Young,,PHL,tl,Manila,@meganbata,,Actress,influencer,Supports environmental causes
Lauren Reid,,PHL,tl,Manila,@laurenreidabook,,Model,influencer,Focus on sustainable living
Janina Vela,,PHL,tl,Manila,@janinavela,,Content Creator,influencer,Advocates for climate action
Kryz Uy,,PHL,tl,Manila,@kryzzzie,,Content Creator,influencer,Promotes sustainable lifestyle
Wil Dasovich,,PHL,tl,Manila,@wil_dasovich,,Content Creator,influencer,Focus on environmental awareness
Alodia Gosiengfiao,,PHL,tl,Manila,@alodia,,Content Creator,influencer,Promotes eco-friendly initiatives
Mimiyuuuh,,PHL,tl,Manila,@mimiyuuuh,,Content Creator,influencer,Advocates for sustainable fashion
Bretman Rock,,PHL,tl,Manila,@bretmanrock,,Content Creator,influencer,Supports environmental causes
Nadine Lustre,,PHL,tl,Manila,@nadine,,Actress,influencer,Advocates for nature conservation
James Reid,,PHL,tl,Manila,@james,,Actor,influencer,Promotes sustainable living
Yassi Pressman,,PHL,tl,Manila,@yassipressman,,Actress,influencer,Focus on environmental awareness
Liza Soberano,,PHL,tl,Manila,@lizasoberano,,Actress,influencer,Supports climate action
Enrique Gil,,PHL,tl,Manila,@enriquegil17,,Actor,influencer,Advocates for sustainable living
Kathryn Bernardo,,PHL,tl,Manila,@bernardokath,,Actress,influencer,Promotes eco-friendly lifestyle
Daniel Padilla,,PHL,tl,Manila,@supremo_dp,,Actor,influencer,Focus on environmental protection
Angel Locsin,,PHL,tl,Manila,@therealangellocsin,,Actress,influencer,Advocates for climate action
Bea Alonzo,,PHL,tl,Manila,@beaalonzo,,Actress,influencer,Supports environmental causes
Piolo Pascual,,PHL,tl,Manila,@piolo_pascual,,Actor,influencer,Promotes sustainable living
Sarah Geronimo,,PHL,tl,Manila,@justsarahgph,,Singer,influencer,Focus on environmental awareness
Matteo Guidicelli,,PHL,tl,Manila,@matteog,,Actor,influencer,Advocates for nature conservation
Kim Chiu,,PHL,tl,Manila,@chinitaprincess,,Actress,influencer,Supports climate action
Gerald Anderson,,PHL,tl,Manila,@andersongeraldjr,,Actor,influencer,Promotes sustainable living
Vice Ganda,,PHL,tl,Manila,@praybeytbenjamin,,Comedian,influencer,Focus on environmental awareness
Catriona Gray,,PHL,tl,Manila,@catriona_gray,,Miss Universe 2018,influencer,Advocates for climate action
Pia Wurtzbach,,PHL,tl,Manila,@piawurtzbach,,Miss Universe 2015,influencer,Supports environmental causes
Maine Mendoza,,PHL,tl,Manila,@mainedcm,,Actress,influencer,Promotes sustainable living
Alden Richards,,PHL,tl,Manila,@aldenrichards02,,Actor,influencer,Focus on environmental protection
Liza Diño,,PHL,tl,Manila,@lizadino,,Film Development Council,influencer,Advocates for climate action
Rachelle Ann Go,,PHL,tl,Manila,@gorachelleann,,Singer,influencer,Supports environmental causes
Iza Calzado,,PHL,tl,Manila,@missizacalzado,,Actress,influencer,Promotes sustainable living
Karylle Tatlonghari,,PHL,tl,Manila,@anakarylle,,Singer,influencer,Focus on environmental awareness
Jasmine Curtis-Smith,,PHL,tl,Manila,@jascurtissmith,,Actress,influencer,Advocates for nature conservation
Ruru Madrid,,PHL,tl,Manila,@rurumadrid8,,Actor,influencer,Supports climate action
Julie Anne San Jose,,PHL,tl,Manila,@myjaps,,Singer,influencer,Promotes sustainable living
Barbie Forteza,,PHL,tl,Manila,@barbaraforteza,,Actress,influencer,Focus on environmental protection
Dingdong Dantes,,PHL,tl,Manila,@dongdantes,,Actor,influencer,Advocates for climate action
Marian Rivera,,PHL,tl,Manila,@marianrivera,,Actress,influencer,Supports environmental causes
Rocco Nacino,,PHL,tl,Manila,@nacinorocco,,Actor,influencer,Promotes sustainable living
Gabbi Garcia,,PHL,tl,Manila,@_gabbigarcia,,Actress,influencer,Focus on environmental awareness
Khalil Ramos,,PHL,tl,Manila,@khalilramos,,Actor,influencer,Advocates for nature conservation
Bianca Umali,,PHL,tl,Manila,@bianxa,,Actress,influencer,Supports climate action
Miguel Tanfelix,,PHL,tl,Manila,@migueltanfelix_,,Actor,influencer,Promotes sustainable living
Kyline Alcantara,,PHL,tl,Manila,@itskylinealcantara,,Actress,influencer,Focus on environmental protection
Mavy Legaspi,,PHL,tl,Manila,@mavylegaspi,,Actor,influencer,Advocates for climate action
Cassy Legaspi,,PHL,tl,Manila,@cassy,,Actress,influencer,Supports environmental causes
Elmo Magalona,,PHL,tl,Manila,@elmomagalona,,Actor,influencer,Promotes sustainable living
Janella Salvador,,PHL,tl,Manila,@superjanella,,Actress,influencer,Focus on environmental awareness
Joshua Garcia,,PHL,tl,Manila,@garciajoshuae,,Actor,influencer,Advocates for nature conservation
Julia Barretto,,PHL,tl,Manila,@juliabarretto,,Actress,influencer,Supports climate action
Inigo Pascual,,PHL,tl,Manila,@inigopascual,,Singer,influencer,Promotes sustainable living
Loisa Andalio,,PHL,tl,Manila,@iamandalioloisa,,Actress,influencer,Focus on environmental protection
Ronnie Alonte,,PHL,tl,Manila,@iamr2alonte,,Actor,influencer,Advocates for climate action
Sue Ramirez,,PHL,tl,Manila,@sueannadoodles,,Actress,influencer,Supports environmental causes
Donny Pangilinan,,PHL,tl,Manila,@donny,,Actor,influencer,Promotes sustainable living
Belle Mariano,,PHL,tl,Manila,@belle_mariano,,Actress,influencer,Focus on environmental awareness
Jericho Rosales,,PHL,tl,Manila,@jerichorosalesofficial,,Actor,influencer,Advocates for nature conservation
Sam Milby,,PHL,tl,Manila,@samuelmilby,,Actor,influencer,Supports climate action
Yeng Constantino,,PHL,tl,Manila,@yeng,,Singer,influencer,Promotes sustainable living
Moira Dela Torre,,PHL,tl,Manila,@moirarachelle,,Singer,influencer,Focus on environmental protection
KZ Tandingan,,PHL,tl,Manila,@kztandingan,,Singer,influencer,Advocates for climate action
Regine Velasquez,,PHL,tl,Manila,@reginevalcasid,,Singer,influencer,Supports environmental causes
Ogie Alcasid,,PHL,tl,Manila,@ogiealcasid,,Singer,influencer,Promotes sustainable living
Gary Valenciano,,PHL,tl,Manila,@garyvalenciano,,Singer,influencer,Focus on environmental awareness
Lea Salonga,,PHL,tl,Manila,@msleasalonga,,Singer,influencer,Advocates for nature conservation
Martin Nievera,,PHL,tl,Manila,@martinnievera,,Singer,influencer,Supports climate action
Zsa Zsa Padilla,,PHL,tl,Manila,@zsazsapadilla,,Singer,influencer,Promotes sustainable living
Jaya,,PHL,tl,Manila,@jaya,,Singer,influencer,Focus on environmental protection
Janno Gibbs,,PHL,tl,Manila,@jannolategibbs,,Singer,influencer,Advocates for climate action
Jolina Magdangal,,PHL,tl,Manila,@mariajolina_ig,,Singer,influencer,Supports environmental causes
Kuh Ledesma,,PHL,tl,Manila,@kuhledesma,,Singer,influencer,Promotes sustainable living
Pops Fernandez,,PHL,tl,Manila,@popsfernandezofficial,,Singer,influencer,Focus on environmental awareness
Lani Misalucha,,PHL,tl,Manila,@lanimisalucha,,Singer,influencer,Advocates for nature conservation
Sharon Cuneta,,PHL,tl,Manila,@reallysharoncuneta,,Actress,influencer,Supports climate action
Judy Ann Santos,,PHL,tl,Manila,@officialjuday,,Actress,influencer,Promotes sustainable living
Carla Abellana,,PHL,tl,Manila,@carlaangeline,,Actress,influencer,Focus on environmental protection
Tom Rodriguez,,PHL,tl,Manila,@akosimangtomas,,Actor,influencer,Advocates for climate action
Dennis Trillo,,PHL,tl,Manila,@dennistrillo,,Actor,influencer,Supports environmental causes
Jennylyn Mercado,,PHL,tl,Manila,@mercadojenny,,Actress,influencer,Promotes sustainable living
Aicelle Santos,,PHL,tl,Manila,@aicellesantos,,Singer,influencer,Focus on environmental awareness
Mark Bautista,,PHL,tl,Manila,@iammarkbautista,,Singer,influencer,Advocates for nature conservation
