name,email,country,language,city,instagram,phone,organization,type,notes
Heal the Bay,,USA,en,Los Angeles,@healthebay,,Heal the Bay,ngo,
Surfrider Foundation LA,,USA,en,Los Angeles,@surfriderla,,Surfrider Foundation,ngo,chapter
TreePeople,,USA,en,Los Angeles,@treepeople_org,,TreePeople,ngo,
Los Angeles Waterkeeper,,USA,en,Los Angeles,@lawaterkeeper,,LA Waterkeeper,ngo,
Friends of the Los Angeles River (FoLAR),,USA,en,Los Angeles,@folarorg,,Friends of the Los Angeles River,ngo,
Climate Resolve,,USA,en,Los Angeles,@climateresolve,,Climate Resolve,ngo,
Pacoima Beautiful,,USA,en,Los Angeles,@pacoimabeautiful,,Pacoima Beautiful,ngo,
Communities for a Better Environment,,USA,en,Los Angeles,@cbe_cal,,CBE,ngo,
South Coast AQMD,,USA,en,Los Angeles,@southcoastaqmd,,South Coast AQMD,other,air district
Port of Los Angeles,,USA,en,Los Angeles,@portofla,,Port of Los Angeles,other,port authority
Heal the Bay Aquarium,,USA,en,Santa Monica,@healthebayaquarium,,Heal the Bay,ngo,aquarium
AltaSea at the Port of LA,,USA,en,Los Angeles,@altasea,,AltaSea,other,blue economy
LA Metro (sustainability),,USA,en,Los Angeles,@metrolosangeles,,LA Metro,other,transport
LA County Public Health (climate),,USA,en,Los Angeles,@lapublichealth,,LA County Public Health,other,
City of LA Climate Emergency Mobilization,,USA,en,Los Angeles,@laemoffice,,CEMO,other,city office
The Bay Foundation,,USA,en,Los Angeles,@thebayfoundation,,The Bay Foundation,ngo,
Santa Monica Mountains Nat'l Recreation Area,,USA,en,Los Angeles,@santamonicamountainsnps,,NPS,other,
LA Department of Water & Power,,USA,en,Los Angeles,@ladwp,,LADWP,other,utility
LA Sanitation & Environment,,USA,en,Los Angeles,@lacitysan,,LASAN,other,city dept
SoCalGas sustainability,,USA,en,Los Angeles,@socalgas,,SoCalGas,other,utility
Trees of LA (educator),,USA,en,Los Angeles,@treesofla,,Independent,influencer,urban trees education
CalTrans District 7 (LA),,USA,en,Los Angeles,@caltransdistrict7,,CalTrans D7,other,transport
LA Conservation Corps,,USA,en,Los Angeles,@laconservationcorps,,LA Conservation Corps,ngo,
LA River State Park Partners,,USA,en,Los Angeles,@lariverstateparkpartners,,Nonprofit,ngo,
Coalition for Clean Air,,USA,en,Los Angeles,@coalitionforcleanair,,Coalition for Clean Air,ngo,
Nature Conservancy California,,USA,en,Los Angeles,@nature_california,,The Nature Conservancy,ngo,
California Coastal Commission,,USA,en,Los Angeles,@thecoastalcomm,,CA Coastal Commission,other,state agency
South LA Eco-Lab,,USA,en,Los Angeles,@southlaecolab,,South LA Eco-Lab,ngo,
UCLA Institute of the Environment & Sustainability,,USA,en,Los Angeles,@uclaioes,,UCLA IoES,other,research
USC Wrigley Institute,,USA,en,Los Angeles,@wrigleyinstitute,,USC Wrigley Institute,other,research
