name,email,country,language,city,instagram,phone,organization,type,notes
Greenpeace México,,MEX,es,Ciudad de México,@greenpeacemx,,Greenpeace México,ngo,
WWF México,,MEX,es,Ciudad de México,@wwf_mexico,,WWF México,ngo,
CEMDA,,MEX,es,Ciudad de México,@cemda.ac,,Centro Mexicano de Derecho Ambiental,ngo,
Pronatura México,,MEX,es,Ciudad de México,@pronaturamexico,,Pronatura México,ngo,
Reforestamos México,,MEX,es,Ciudad de México,@reforestamosmexico,,Reforestamos México,ngo,
CONABIO,,MEX,es,Ciudad de México,@conabiomx,,CONABIO,other,gov science
CONANP,,MEX,es,Ciudad de México,@conanp_mx,,CONANP,other,gov parks
INECC,,MEX,es,Ciudad de México,@ineccmx,,Instituto Nacional de Ecología y Cambio Climático,other,gov research
SEDEMA CDMX,,MEX,es,Ciudad de México,@sedema_cdmx,,Secretaría del Medio Ambiente CDMX,other,city
SACMEX,,MEX,es,Ciudad de México,@sacmex,,Sistema de Aguas de la Ciudad de México,other,city water
Cámara Ambiental de la Megalópolis (CAMe),,MEX,es,Ciudad de México,@came_mx,,CAMe,other,gov air quality
Biodiversidad Mexicana (CONABIO),,MEX,es,Ciudad de México,@biodiversidad_mexicana,,CONABIO,other,project
Greenpeace Voluntariado CDMX,,MEX,es,Ciudad de México,@greenpeace_cdmx,,Greenpeace México,activist,volunteers
Aristegui Noticias,,MEX,es,Ciudad de México,@aristeguionline,,Aristegui Noticias,journalist,
Animal Político,,MEX,es,Ciudad de México,@animalpolitico,,Animal Político,journalist,
El País México,,MEX,es,Ciudad de México,@elpaismexico,,El País México,journalist,
Reforma,,MEX,es,Ciudad de México,@reformacom,,Reforma,journalist,
SEMARNAT,,MEX,es,Ciudad de México,@semarnat_mx,,SEMARNAT,other,federal
SENER (Energía),,MEX,es,Ciudad de México,@sener_mx,,Secretaría de Energía,other,federal
IMTA,,MEX,es,Ciudad de México,@imtamx,,Instituto Mexicano de Tecnología del Agua,other,federal
Pronatura Noroeste,,MEX,es,Ciudad de México,@pronaturanoroeste,,Pronatura Noroeste,ngo,
Pronatura Noreste,,MEX,es,Ciudad de México,@pronatura_noreste,,Pronatura Noreste,ngo,
The Climate Reality Project México,,MEX,es,Ciudad de México,@climaterealitymx,,Climate Reality México,ngo,
Legambiente México,,MEX,es,Ciudad de México,@legambientemexico,,Legambiente México,ngo,
Periodistas UNAM Medio Ambiente,,MEX,es,Ciudad de México,@unam_medioambiente,,UNAM,journalist,science comm
CONABIO – Enciclovida,,MEX,es,Ciudad de México,@enciclovida_mx,,CONABIO,other,citizen science
SEMARNAT Educación Ambiental,,MEX,es,Ciudad de México,@educacionambiental_mx,,SEMARNAT,other,
Natura y Ecosistemas Mexicanos A.C.,,MEX,es,Ciudad de México,@nam_mexico,,Natura y Ecosistemas Mexicanos,ngo,
El Poder del Consumidor,,MEX,es,Ciudad de México,@elpoderdelconsumidor,,El Poder del Consumidor,ngo,consumo
Greenpeace México Energía,,MEX,es,Ciudad de México,@greenpeacemx,,Greenpeace México,ngo,tema energía
